"","Address.","Bathrooms.","Bedrooms.","Built.Year.","Developer.","District.","last_updated","Property.Name.","nearest_mrt_name","neighbourhood","PSF.","Property.Type.","Asking.","Area.","Area.Builtup","Area.Land","Tenure.","title","total_units","travel_time_changi","travel_time_orchard","travel_time_raffles","unit_types","no._of_bedrooms","Furnish.","Floor.","overlooking_view","facing"
"51","101 Hillview Rise","1","1","2016","Kingsford Development Pte Ltd","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","6 days ago","Kingsford . Hillview Peak","Hillview MRT","Bukit Batok",5.69,"Condo Whole Unit",2999,"527 sqft",527,NA,"99 Years","1 Bed Condo for Rent in Kingsford . Hillview Peak","512",73,33,39,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"52","77 Upper East Coast Road","1","1","2022","KDC (77) Development Pte. Ltd. (KTC Group)","East Coast / Marine Parade (D15)","6 days ago","77 @ East Coast","Siglap MRT","Bedok",6.32,"Apartment Whole Unit",3200,"506 sqft",506,NA,"Freehold","1 Bed Condo for Rent in 77 @ East Coast","41",40,43,36,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"53","Jalan Nipah","6","5","1993","Ho Lee Investment Pte Ltd (Far East Organization)","Bedok / Upper East Coast (D16)","1 month ago","Bedok Ria","Tanah Merah MRT","Bedok",3.86,"Semi-Detached House",13500,"5,570 sqft (built-up) / 3,500 sqft (land)",5570,3500,"Freehold","5 Bed House for Rent in Bedok Ria","178",30,46,38,"2, 3, 4, 5, 6, 7 BR",NA,"Partial",NA,NA,NA
"54","196 Tembeling Road","1","1","1990",NA,"East Coast / Marine Parade (D15)","4 days ago","Tembeling Lodge",NA,"Marine Parade",10.4,"Apartment Whole Unit",2600,"250 sqft",250,NA,"Freehold","Studio Condo for Rent in Tembeling Lodge","2",43,33,31,"Studio",NA,NA,NA,NA,NA
"55","145 Killiney Road","2","2","2014","Unique Development Pte. Ltd.","Orchard / River Valley (D9)","12 days ago","The Boutiq","Somerset MRT","River Valley",6.8,"Condo Whole Unit",6000,"883 sqft",883,NA,"Freehold","2 Bed Condo for Rent in The Boutiq","130",57,13,15,"1, 2 BR",NA,NA,NA,NA,NA
"56","329 Thomson Road","2","2","2005","Ho Bee Investment Ltd","Newton / Novena (D11)","8 days ago","Amaninda","Novena MRT","Novena",4.64,"Condo Whole Unit",4900,"1,055 sqft",1055,NA,"Freehold","2 Bed Condo for Rent in Amaninda","70",NA,NA,NA,"1, 2, 3 BR",NA,NA,NA,NA,NA
"57","14 Taman Nakhoda","5","3","1982","Nakhoda Development Pte Ltd","Tanglin / Holland (D10)","9 days ago","Villa Delle Rose","Farrer Road MRT","Tanglin",3.93,"Walk-up Whole Unit",11000,"2,800 sqft",2800,NA,"Freehold","3 Bed Condo for Rent in Villa Delle Rose","104",66,17,29,"3, 4 BR",NA,NA,NA,NA,NA
"58","7 Kim Tian Road","1","1","2018","Harvestland Developement Pte Ltd (Keppel Land)","Alexandra / Commonwealth (D3)","4 days ago","Highline Residences","Tiong Bahru MRT","Bukit Merah",9.49,"Condo Whole Unit",4800,"506 sqft",506,NA,"99 Years","1 Bed Condo for Rent in Highline Residences","500",63,24,15,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"59","74 Sengkang Square","3","3","2017","El Development (Sengkang) Pte Ltd","Hougang / Punggol / Sengkang (D19)","1 day ago","La Fiesta","Sengkang MRT","Sengkang",4.5,"Condo Whole Unit",4500,"1,001 sqft",1001,NA,"99 Years","3 Bed Condo for Rent in La Fiesta","810",41,36,35,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"60","5 Mount Emily Road","3","3","2008","City Developments Ltd","Orchard / River Valley (D9)","6 days ago","Parc Emily","Little India MRT",NA,5.58,"Condo Whole Unit",7800,"1,399 sqft",1399,NA,"Freehold","3 Bed Condo for Rent in Parc Emily","295",53,21,18,"Studio, 1, 2, 3, 5 BR",NA,NA,NA,NA,NA
