"","Address.","Bathrooms.","Bedrooms.","Built.Year.","Developer.","District.","last_updated","Property.Name.","nearest_mrt_name","neighbourhood","PSF.","Property.Type.","Asking.","Area.","Area.Builtup","Area.Land","Tenure.","title","total_units","travel_time_changi","travel_time_orchard","travel_time_raffles","unit_types","no._of_bedrooms","Furnish.","Floor.","overlooking_view","facing"
"716","10 Alexandra View","2","3","2021","FEC Skyline Pte Ltd","Alexandra / Commonwealth (D3)","19 days ago","Artra","Redhill MRT","Bukit Merah",7.85,"Condo Whole Unit",8200,"1,044 sqft",1044,NA,"99 Years","3 Bed Condo for Rent in Artra","400",60,25,13,"2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"717","6 Marina Boulevard","3","4","2008","City Developments Ltd,AIG Global Real Estate","Boat Quay / Raffles Place / Marina (D1)","3 days ago","The Sail @ Marina Bay","Downtown MRT",NA,6.3,"Condo Whole Unit",13868,"2,200 sqft",2200,NA,"99 Years","4 Bed Condo for Rent in The Sail @ Marina Bay","1111",NA,NA,NA,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,NA,NA,NA,NA
"718",NA,"2","3","2003","HDB","Hougang / Punggol / Sengkang (D19)","10 days ago","HDB-Sengkang","Renjong MRT","Sengkang",3.21,"HDB",3800,"1,184 sqft",1184,NA,"99 Years","HDB Flat for Rent in 204B Compassvale Drive",NA,41,43,42,"2, 3, 4, 5, 6 BR","3",NA,NA,NA,NA
"719","Toh Heights","6","6","2002","Tuan Huat Investment Co. Pte Ltd (Springleaf Homes)","Changi Airport / Changi Village (D17)","24 days ago","Changi Heights",NA,"Pasir Ris",2.35,"Bungalow",18000,"7,670 sqft (built-up)",7670,NA,"Freehold","6 Bed House for Rent in Changi Heights","60",39,59,51,"Studio, 2, 4, 5, 6, 7 BR",NA,NA,NA,NA,NA
"720","108 Keng Lee Road","1","1","1982",NA,"Farrer Park / Serangoon Rd (D8)","7 days ago","Keng Lee View","Novena MRT","Kallang",6.22,"Condo Whole Unit",2799,"450 sqft",450,NA,"Freehold","1 Bed Condo for Rent in Keng Lee View","24",61,25,27,"1, 2 BR",NA,"Fully",NA,NA,NA
"721",NA,"2","2","1985","HDB","Sembawang / Yishun (D27)","10 days ago","Yishun Sunshine","Yishun MRT","Yishun",4.77,"HDB 2 Rooms",3280,"688 sqft",688,NA,"99 Years","HDB Flat for Rent in 256 Yishun Ring Road",NA,58,39,45,"2, 3, 4 BR","2",NA,NA,NA,NA
"722","West Coast Terrace","5","4",NA,NA,"Buona Vista / West Coast / Clementi (D5)","4 days ago","Hong Leong Garden","Clementi MRT","Clementi",6,"Terraced House",12000,"4,284 sqft (built-up) / 2,000 sqft (land)",4284,2000,"956 Years","4 Bed House for Rent in Hong Leong Garden",NA,85,44,38,"3, 4, 5, 6 BR",NA,"Fully",NA,NA,"North"
"723","1 Fraser Street","2","2","2017","M+S Pte Ltd (A Company Owned By Khazanah And Temasek)","Beach Road / Bugis / Rochor (D7)","5 days ago","Duo Residences / Duo Tower","Bugis MRT",NA,6.43,"Apartment Whole Unit",6300,"980 sqft",980,NA,"99 Years","2 Bed Condo for Rent in Duo Residences / Duo Tower","660",50,20,12,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"724","10 Leedon Road","5","4","1985","Glory Realty Co. Pte Ltd","Tanglin / Holland (D10)","7 days ago","Jade Mansion","Holland Village MRT","Bukit Timah",4.96,"Condo Whole Unit",13500,"2,723 sqft",2723,NA,"Freehold","4 Bed Condo for Rent in Jade Mansion","27",67,24,27,"3, 4 BR",NA,NA,NA,NA,NA
"725",NA,"9","7",NA,NA,"Tanglin / Holland (D10)","19 days ago",NA,NA,NA,9.37,"Bungalow",149000,"12,000 sqft (built-up) / 15,900 sqft (land)",12000,15900,NA,"7 Bed House for Rent in Cluny Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726","1 Fraser Street","1","1","2017","M+S Pte Ltd (A Company Owned By Khazanah And Temasek)","Beach Road / Bugis / Rochor (D7)","4 days ago","Duo Residences / Duo Tower","Bugis MRT",NA,8.98,"Apartment Whole Unit",5800,"646 sqft",646,NA,"99 Years","1 Bed Condo for Rent in Duo Residences / Duo Tower","660",50,20,12,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"727","4 Marina Boulevard","2","2","2008","City Developments Ltd,AIG Global Real Estate","Boat Quay / Raffles Place / Marina (D1)","3 days ago","The Sail @ Marina Bay","Downtown MRT",NA,8.33,"Condo Whole Unit",7800,"936 sqft",936,NA,"99 Years","2 Bed Condo for Rent in The Sail @ Marina Bay","1111",50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,"Fully","High (70 total)","City view",NA
"728","356 Alexandra Road","1","2","2012","Ec Prime Pte Ltd","Alexandra / Commonwealth (D3)","3 days ago","Alexis","Queenstown MRT","Queenstown",8.96,"Condo Whole Unit",5510,"615 sqft",615,NA,"Freehold","2 Bed Condo for Rent in Alexis","293",NA,NA,NA,"Studio, 1, 2, 3 BR",NA,"Fully","High","Greenery view",NA
"729","25 Nathan Road","2","2","2012","Tat Aik Property Pte Ltd","Tanglin / Holland (D10)","7 days ago","Nathan Residences","Tiong Bahru MRT","Tanglin",6.73,"Condo Whole Unit",5288,"786 sqft",786,NA,"Freehold","2 Bed Condo for Rent in Nathan Residences","91",NA,NA,NA,"1, 2 BR",NA,NA,NA,NA,NA
"730","841 Mountbatten Road","3","3","2012","Mountbatten Development Pte Ltd","East Coast / Marine Parade (D15)","20 days ago","Ola Residences",NA,"Marine Parade",4.58,"Condo Whole Unit",7500,"1,636 sqft",1636,NA,"Freehold","3 Bed Condo for Rent in Ola Residences","50",38,32,27,"1, 3 BR",NA,"Partial",NA,"Pool view",NA
"731","61 Cairnhill Circle","2","2","2015",NA,"Orchard / River Valley (D9)","1 hr ago","The Peak @ Cairnhill II","Newton MRT","Newton",7.19,"Condo Whole Unit",6500,"904 sqft",904,NA,"Freehold","2 Bed Condo for Rent in The Peak @ Cairnhill II","62",58,14,20,"1, 2, 3 BR",NA,"Partial","Mid","City view",NA
"732","368 Upper East Coast Road","3","3","1993","Sincere Properties Pte Ltd (Far East Organization)","Bedok / Upper East Coast (D16)","7 days ago","Villas Laguna",NA,"Bedok",3.33,"Condo Whole Unit",5200,"1,560 sqft",1560,NA,"Freehold","3 Bed Condo for Rent in Villas Laguna","31",NA,NA,NA,"3 BR",NA,NA,NA,NA,NA
"733","38 Amber Road","2","2","2008","Ho Brothers Investment Pte Ltd","East Coast / Marine Parade (D15)","1 day ago","38 Amber",NA,"Marine Parade",5.04,"Condo Whole Unit",4500,"893 sqft",893,NA,"Freehold","2 Bed Condo for Rent in 38 Amber","29",34,33,29,"2, 3 BR",NA,NA,"High",NA,"East"
"734","23 Stirling Road","1","1","2022","LN Development (Stirling) Pte Ltd (Logan Property Holdings/ Nanshan Group)","Alexandra / Commonwealth (D3)","11 days ago","Stirling Residences","Queenstown MRT","Queenstown",10.2,"Apartment Whole Unit",4500,"441 sqft",441,NA,"99 Years","1 Bed Condo for Rent in Stirling Residences","1259",66,31,19,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"735",NA,"2","4","2004","HDB","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","12 days ago","Goodview Gardens","Bukit Gombak MRT","Bukit Batok",33.89,"HDB 5 Rooms",3999,"118 sqft",118,NA,"99 Years","HDB Flat for Rent in 390 Bukit Batok West Avenue 5",NA,85,38,49,"Studio, 2, 3, 4 BR","4","Fully","Mid",NA,"South"
"736","2 Kovan Rise","1","2","2016","Hoi Hup Kovan Development Pte Ltd","Hougang / Punggol / Sengkang (D19)","9 days ago","Kovan Regency","Kovan MRT","Hougang",5.26,"Condo Whole Unit",3400,"646 sqft",646,NA,"99 Years","2 Bed Condo for Rent in Kovan Regency","393",NA,NA,NA,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"737","25 Stirling Road","2","2","2022","LN Development (Stirling) Pte Ltd (Logan Property Holdings/ Nanshan Group)","Alexandra / Commonwealth (D3)","3 days ago","Stirling Residences","Queenstown MRT","Queenstown",9.36,"Condo Whole Unit",6450,"689 sqft",689,NA,"99 Years","2 Bed Condo for Rent in Stirling Residences","1259",66,31,19,"Studio, 1, 2, 3, 4 BR",NA,"Fully","Mid",NA,NA
"738",NA,"3","3","1997","Anchor Developments Pte Ltd (Frasers Centrepoint Homes)","Alexandra / Commonwealth (D3)","13 days ago","The Anchorage","Queenstown MRT","Queenstown",4.57,"Condo Whole Unit",6500,"1,421 sqft",1421,NA,"Freehold","3 Bed Condo for Rent in The Anchorage","775",69,30,22,"1, 2, 3, 4 BR",NA,"Fully","High","Greenery view",NA
"739","17 Pasir Ris Grove","2","2","2019",NA,"Pasir Ris / Tampines (D18)","3 days ago","Coco Palms","Pasir Ris MRT","Pasir Ris",6.06,"Condo Whole Unit",4500,"743 sqft",743,NA,"99 Years","2 Bed Condo for Rent in Coco Palms","944",29,45,37,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,NA,NA,NA,NA
"740",NA,"2","2","1980","HDB","Ang Mo Kio / Bishan / Thomson (D20)","10 days ago","Cheng San Crest","Ang Mo Kio MRT","Ang Mo Kio",3.85,"HDB",3400,"883 sqft",883,NA,"99 Years","HDB Flat for Rent in 502 Ang Mo Kio Avenue 5",NA,63,31,36,"1, 2, 3, 4, 5 BR","2",NA,NA,NA,NA
"741","902 Sims Avenue","2","3","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","9 days ago","Parc Esta","Eunos MRT","Geylang",7.74,"Condo Whole Unit",7000,"904 sqft",904,NA,"99 Years","3 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,"Partial","Mid",NA,"North"
"742","21 Stirling Road","2","2","2022","LN Development (Stirling) Pte Ltd (Logan Property Holdings/ Nanshan Group)","Alexandra / Commonwealth (D3)","1 month ago","Stirling Residences","Queenstown MRT","Queenstown",8.68,"Apartment Whole Unit",5888,"678 sqft",678,NA,"99 Years","2 Bed Condo for Rent in Stirling Residences","1259",66,31,19,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"743","Race Course Road","1","1",NA,NA,"Farrer Park / Serangoon Rd (D8)","38 mins ago","Race Course Road/Owen Road Conservation Area","Farrer Park MRT","Kallang",2.14,"Shophouse",2999,"1,400 sqft (built-up)",1400,NA,NA,"1 Bed House for Rent in Race Course Road/Owen Road Conservation Area",NA,52,21,20,"Studio, 1, 2, 3 BR",NA,"Partial",NA,NA,NA
"744","18 Marina Boulevard","1","1","2010","Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd","Boat Quay / Raffles Place / Marina (D1)","5 days ago","Marina Bay Residences","Downtown MRT",NA,8.45,"Condo Whole Unit",6000,"710 sqft",710,NA,"99 Years","1 Bed Condo for Rent in Marina Bay Residences","428",52,19,11,"Studio, 1, 2, 3, 4, 5, 6, 9 BR",NA,NA,NA,NA,NA
"745","49 Hindhede Walk","3","3","1998","Allgreen Properties Ltd","Clementi Park / Upper Bukit Timah (D21)","5 days ago","Springdale Condominium","Beauty World MRT","Bukit Panjang",4.15,"Condo Whole Unit",4600,"1,109 sqft",1109,NA,"999 Years","3 Bed Condo for Rent in Springdale Condominium","480",79,33,41,"2, 3, 4 BR",NA,"Fully",NA,NA,NA
"746","12 Hougang Street 92","2","3","2000","Serenity Properties Pte Ltd (Far East Organization)","Hougang / Punggol / Sengkang (D19)","4 days ago","Regentville",NA,"Hougang",3.27,"Condo Whole Unit",3200,"980 sqft",980,NA,"99 Years","3 Bed Condo for Rent in Regentville","580",51,40,44,"1, 2, 3 BR",NA,"Fully","High",NA,NA
"747","8 Woodleigh Lane","2","3","2021","CEL Unique Development Pte. Ltd. (Chip Eng Seng Corp/ Heeton Holdings/ KSH Holdings)","Macpherson / Potong Pasir (D13)","15 days ago","Park Colonial","Woodleigh MRT","Toa Payoh",7.97,"Condo Whole Unit",8500,"1,066 sqft",1066,NA,"99 Years","3 Bed Condo for Rent in Park Colonial","805",57,24,24,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"748","145 Killiney Road","2","2","2014","Unique Development Pte. Ltd.","Orchard / River Valley (D9)","11 days ago","The Boutiq","Somerset MRT","River Valley",7.33,"Condo Whole Unit",6000,"818 sqft",818,NA,"Freehold","2 Bed Condo for Rent in The Boutiq","130",57,13,15,"1, 2 BR",NA,NA,NA,NA,NA
"749","Kew Crescent","4","4","1997",NA,"Bedok / Upper East Coast (D16)","6 days ago","Kew Green",NA,"Bedok",3.12,"Cluster House",9000,"2,882 sqft (built-up)",2882,NA,"99 Years","4 Bed House for Rent in Kew Green",NA,44,50,42,"4 BR",NA,NA,NA,NA,NA
"750","60 Robertson Quay","3","3","1998","Robertson Quay Development Pte Ltd","Orchard / River Valley (D9)","9 days ago","The Quayside","Chinatown MRT",NA,4.33,"Apartment Whole Unit",6500,"1,500 sqft",1500,NA,"99 Years","3 Bed Condo for Rent in The Quayside","79",63,23,21,"2, 3, 4 BR",NA,NA,NA,NA,NA
"751","105 West Coast Vale","2","2","2022","CDL Pegasus Pte Ltd (City Developments Limited)","Buona Vista / West Coast / Clementi (D5)","4 days ago","Whistler Grand",NA,"Clementi",6.68,"Condo Whole Unit",5100,"764 sqft",764,NA,"99 Years","2 Bed Condo for Rent in Whistler Grand","716",NA,NA,NA,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,"Partial","High","Sea view","South"
"752","Lentor Way","4","4","1992","Tong Lee Company Pte Ltd","Mandai / Upper Thomson (D26)","22 days ago","Lentor View",NA,"Ang Mo Kio",3.73,"Terraced House",7000,"3,444 sqft (built-up) / 1,877 sqft (land)",3444,1877,"Freehold","4 Bed House for Rent in Lentor View","142",78,48,53,"3, 4, 5 BR",NA,NA,NA,NA,NA
"753",NA,"2","3","1980","HDB","Ang Mo Kio / Bishan / Thomson (D20)","8 days ago","HDB-Ang Mo Kio",NA,"Ang Mo Kio",3.55,"HDB",3900,"1,098 sqft",1098,NA,"99 Years","HDB Flat for Rent in 222 Ang Mo Kio Avenue 1",NA,NA,NA,NA,"Studio, 1, 2, 3, 4 BR","3",NA,NA,NA,NA
"754","130 Tanjong Rhu Road","3","2","1997","Dbs Property Services Ltd (Capitaland)","East Coast / Marine Parade (D15)","15 days ago","Pebble Bay","Stadium MRT","Kallang",5.49,"Condo Whole Unit",7500,"1,367 sqft",1367,NA,"99 Years","2 Bed Condo for Rent in Pebble Bay","510",66,43,38,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"755","738 Bedok Reservoir Road","1","1","2015","Fraser Centrepoint Homes","Bedok / Upper East Coast (D16)","19 hrs ago","Waterfront Isle",NA,"Bedok",6.02,"Condo Whole Unit",3500,"581 sqft",581,NA,"99 Years","1 Bed Condo for Rent in Waterfront Isle","561",NA,NA,NA,"1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"756","23 Marina Way","2","2","2018","Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.","Boat Quay / Raffles Place / Marina (D1)","11 days ago","Marina One Residences","Marina Bay MRT",NA,7.1,"Condo Whole Unit",7950,"1,119 sqft",1119,NA,"99 Years","2 Bed Condo for Rent in Marina One Residences","1042",50,16,8,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,NA,NA,NA,NA
"757","904 Sims Avenue","1","2","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","17 days ago","Parc Esta","Eunos MRT","Geylang",7.87,"Condo Whole Unit",5000,"635 sqft",635,NA,"99 Years","2 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"758","187 Tanjong Rhu Road","3","4","2004","Guocoland","East Coast / Marine Parade (D15)","1 day ago","Sanctuary Green","Stadium MRT","Kallang",5.26,"Condo Whole Unit",9000,"1,711 sqft",1711,NA,"99 Years","4 Bed Condo for Rent in Sanctuary Green","522",65,43,37,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"759","65 Tiong Poh Road","1","3",NA,NA,"Alexandra / Commonwealth (D3)","2 days ago","Tiong Bahru Estate","Tiong Bahru MRT","Bukit Merah",6.45,"Walk-up Whole Unit",6100,"946 sqft",946,NA,"99 Years","3 Bed Condo for Rent in Tiong Bahru Estate",NA,NA,NA,NA,"Studio, 1, 2, 3, 4, 5 BR",NA,"Partial","Mid",NA,NA
"760","7 Anthony Road","2","2","2007","Golden Development Pte Ltd (Far East Oranisation)","Orchard / River Valley (D9)","18 days ago","Orchard Scotts","Newton MRT","Newton",6.99,"Condo Whole Unit",6700,"958 sqft",958,NA,"99 Years","2 Bed Condo for Rent in Orchard Scotts","387",55,11,17,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"761","77 Woodgrove Avenue","2","3","2015","Far East Organization","Admiralty / Woodlands (D25)","22 days ago","Woodhaven","Woodlands MRT","Woodlands",3.84,"Condo Whole Unit",4500,"1,173 sqft",1173,NA,"99 Years","3 Bed Condo for Rent in Woodhaven","337",56,49,58,"Studio, 1, 2, 3, 4, 5 BR",NA,"Partial",NA,NA,NA
"762","156 Prince Charles Crescent","2","2","2002","Tanglin View Pte Ltd (Far East Organization)","Alexandra / Commonwealth (D3)","4 days ago","Tanglin View","Redhill MRT","Bukit Merah",5.73,"Condo Whole Unit",5000,"872 sqft",872,NA,"99 Years","2 Bed Condo for Rent in Tanglin View","384",63,24,16,"2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"763","103 Hillview Rise","1","1","2016","Kingsford Development Pte Ltd","Bukit Batok / Bukit Panjang / Choa Chu Kang (D23)","2 days ago","Kingsford . Hillview Peak","Hillview MRT","Bukit Batok",5.46,"Condo Whole Unit",3000,"549 sqft",549,NA,"99 Years","1 Bed Condo for Rent in Kingsford . Hillview Peak","512",73,33,39,"1, 2, 3, 4 BR",NA,"Fully","Low",NA,NA
"764","4 Marina Boulevard","2","2","2008","City Developments Ltd,AIG Global Real Estate","Boat Quay / Raffles Place / Marina (D1)","3 days ago","The Sail @ Marina Bay","Downtown MRT",NA,8.33,"Condo Whole Unit",7800,"936 sqft",936,NA,"99 Years","2 Bed Condo for Rent in The Sail @ Marina Bay","1111",50,24,6,"Studio, 1, 2, 3, 4, 5, 10 BR",NA,"Fully","High (70 total)","Sea view",NA
"765","25 Lorong 3 Toa Payoh","2","2","2011","Choice Homes Gamma Pte Ltd","Balestier / Toa Payoh (D12)","7 days ago","Trevista","Braddell MRT","Toa Payoh",5.23,"Condo Whole Unit",4500,"861 sqft",861,NA,"99 Years","2 Bed Condo for Rent in Trevista","590",62,17,23,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"766","14 Taman Nakhoda","5","3","1982","Nakhoda Development Pte Ltd","Tanglin / Holland (D10)","9 days ago","Villa Delle Rose","Farrer Road MRT","Tanglin",3.93,"Condo Whole Unit",11000,"2,800 sqft",2800,NA,"Freehold","3 Bed Condo for Rent in Villa Delle Rose","104",66,17,29,"3, 4 BR",NA,NA,NA,NA,NA
"767","914 Sims Avenue","1","1","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","42 mins ago","Parc Esta","Eunos MRT","Geylang",8.85,"Condo Whole Unit",4000,"452 sqft",452,NA,"99 Years","1 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,"Flexible",NA,NA,"North"
"768","70 Dalvey Road","4","4","2005","Heeton Holdings Ltd","Tanglin / Holland (D10)","11 days ago","DLV","Stevens MRT","Tanglin",4.31,"Condo Whole Unit",16000,"3,713 sqft",3713,NA,"Freehold","4 Bed Condo for Rent in DLV","25",60,14,25,"1, 3, 4 BR",NA,NA,NA,NA,NA
"769","Seletar Green Walk","6","5","2013","Singapore United Estates Pte Ltd","Seletar / Yio Chu Kang (D28)","9 days ago","Luxus Hills",NA,"Serangoon",5.57,"Terraced House",9000,"3,600 sqft (built-up) / 1,615 sqft (land)",3600,1615,"999 Years","5 Bed House for Rent in Luxus Hills","78",52,40,46,"4, 5, 6 BR",NA,"Unfurnished",NA,NA,"North"
"770","1 Chatsworth Road","6","6","1976","Good Luck Development Enterprise Pte Ltd","Tanglin / Holland (D10)","1 day ago","One Chatsworth",NA,"Tanglin",6.15,"Condo Whole Unit",80000,"13,000 sqft",13000,NA,"Freehold","6 Bed Condo for Rent in One Chatsworth","45",75,25,28,"5, 6 BR",NA,"Partial","Penthouse",NA,NA
"771","4 Shunfu Road","1","1","2023","Qingjian Realty (Marymount) Pte Ltd","Ang Mo Kio / Bishan / Thomson (D20)","10 days ago","JadeScape","Marymount MRT","Bishan",7.02,"Condo Whole Unit",3700,"527 sqft",527,NA,"99 Years","1 Bed Condo for Rent in JadeScape","1206",63,27,32,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"772",NA,"2","6","1986","HDB","Pasir Ris / Tampines (D18)","7 days ago","Tampines Ville","Tampines MRT","Tampines",4.51,"HDB 3 Rooms",3300,"731 sqft",731,NA,"99 Years","HDB Flat for Rent in 852 Tampines Street 82",NA,NA,NA,NA,"2, 3, 4, 6 BR","6","Partial",NA,NA,NA
"773",NA,"2","2","2005","HDB","Hougang / Punggol / Sengkang (D19)","7 days ago","Eastdale","Kadaloor MRT","Punggol",3.21,"HDB",3800,"1,184 sqft",1184,NA,"99 Years","HDB Flat for Rent in 643 Punggol Central",NA,44,45,44,"Studio, 2, 3, 5 BR","2",NA,NA,NA,NA
"774",NA,"1","3","1968","HDB","Balestier / Toa Payoh (D12)","4 days ago","Toa Payoh View","Braddell MRT","Toa Payoh",4.44,"HDB",3200,"721 sqft",721,NA,"99 Years","HDB Flat for Rent in 125 Lorong 1 Toa Payoh",NA,62,17,22,"1, 2, 3, 4, 5 BR","3",NA,NA,NA,NA
"775","230 Commonwealth Avenue","1","1","2019","Wealthall Developments Pte. Ltd.,Hong Leong Holdings Ltd","Alexandra / Commonwealth (D3)","9 days ago","Commonwealth Towers","Queenstown MRT","Queenstown",9.07,"Condo Whole Unit",4000,"441 sqft",441,NA,"99 Years","1 Bed Condo for Rent in Commonwealth Towers","845",63,25,16,"1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"776","9 Kim Tian Road","1","1","2018","Harvestland Developement Pte Ltd (Keppel Land)","Alexandra / Commonwealth (D3)","3 hrs ago","Highline Residences","Tiong Bahru MRT","Bukit Merah",8.89,"Condo Whole Unit",4500,"506 sqft",506,NA,"99 Years","Studio Condo for Rent in Highline Residences","500",63,24,15,"Studio, 1, 2, 3, 4 BR",NA,"Fully",NA,NA,NA
"777",NA,"7","7",NA,NA,"Bedok / Upper East Coast (D16)","5 days ago",NA,NA,NA,2.35,"Bungalow",17500,"6,265 sqft (built-up) / 7,458 sqft (land)",6265,7458,NA,"7 Bed House for Rent in Sennett Avenue",NA,NA,NA,NA,NA,NA,"Partial",NA,NA,"South East"
"778","13 Leedon Heights","1","2","2015",NA,"Tanglin / Holland (D10)","22 days ago","D'leedon","Farrer Road MRT","Bukit Timah",5.02,"Condo Whole Unit",4700,"937 sqft",937,NA,"99 Years","2 Bed Condo for Rent in D'leedon","1723",70,23,34,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,"Partial",NA,NA,NA
"779","13 Kim Tian Road","1","1","2018","Harvestland Developement Pte Ltd (Keppel Land)","Alexandra / Commonwealth (D3)","9 days ago","Highline Residences","Tiong Bahru MRT","Bukit Merah",8.65,"Condo Whole Unit",4500,"520 sqft",520,NA,"99 Years","1 Bed Condo for Rent in Highline Residences","500",63,24,15,"Studio, 1, 2, 3, 4 BR",NA,NA,NA,NA,NA
"780","10 Alexandra View","2","2","2021","FEC Skyline Pte Ltd","Alexandra / Commonwealth (D3)","8 days ago","Artra","Redhill MRT","Bukit Merah",7.63,"Condo Whole Unit",6000,"786 sqft",786,NA,"99 Years","2 Bed Condo for Rent in Artra","400",60,25,13,"2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"781","50 Lorong 40 Geylang","3","3","1998","Sing-Indo Development Pte Ltd","Eunos / Geylang / Paya Lebar (D14)","2 hrs ago","The Sunny Spring","Dakota MRT","Geylang",4.78,"Apartment Whole Unit",5250,"1,098 sqft",1098,NA,"Freehold","3 Bed Condo for Rent in The Sunny Spring","338",49,32,24,"Studio, 1, 3, 4 BR",NA,NA,NA,NA,NA
"782","910 Sims Avenue","1","2","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","7 days ago","Parc Esta","Eunos MRT","Geylang",7.09,"Condo Whole Unit",4500,"635 sqft",635,NA,"99 Years","2 Bed Condo for Rent in Parc Esta","1399",NA,NA,NA,"Studio, 1, 2, 3, 4, 5 BR",NA,NA,NA,NA,NA
"783","8 Enggor Street","2","2","2015","Arcadia Development Pte. Ltd.","Chinatown / Tanjong Pagar (D2)","2 days ago","Skysuites @ Anson","Tanjong Pagar MRT",NA,8.4,"Condo Whole Unit",5600,"667 sqft",667,NA,"99 Years","2 Bed Condo for Rent in Skysuites @ Anson","360",57,22,10,"Studio, 1, 2, 3 BR",NA,NA,"High","Pool view",NA
"784","233 Paya Lebar Road","3","3","2006","Everian Holdings Pte Ltd (Guccoland Ltd)","Eunos / Geylang / Paya Lebar (D14)","18 days ago","Le Crescendo","MacPherson MRT","Geylang",4.14,"Condo Whole Unit",5700,"1,378 sqft",1378,NA,"Freehold","3 Bed Condo for Rent in Le Crescendo","228",44,35,27,"2, 3 BR",NA,NA,"High",NA,NA
"785",NA,"2","3","2005","HDB","Hougang / Punggol / Sengkang (D19)","23 days ago","The Meadows","Kadaloor MRT","Punggol",2.9,"HDB 5 Rooms",3500,"1,205 sqft",1205,NA,"99 Years","HDB Flat for Rent in 641B Punggol Drive",NA,NA,NA,NA,"1, 3, 4, 5 BR","3","Fully","Top",NA,"North East"
"786","Brizay Park","10","9",NA,NA,"Tanglin / Holland (D10)","20 days ago","Brizay Park","King Albert Park MRT","Bukit Timah",0.13,"Bungalow",150000,"1,184,030 sqft (built-up)",1184030,NA,NA,"9 Bed House for Rent in Brizay Park",NA,70,29,35,"3, 4, 5, 6, 7, 8, 9, 10 BR",NA,NA,NA,NA,NA
"787","908 Sims Avenue","1","2","2022","MCL Land Limited","Eunos / Geylang / Paya Lebar (D14)","6 days ago","Parc Esta","Eunos MRT","Geylang",7.3,"Condo Whole Unit",5500,"753 sqft",753,NA,"99 Years","2 Bed Condo for Rent in Parc Esta","1399",37,28,20,"Studio, 1, 2, 3, 4, 5 BR",NA,"Partial",NA,NA,NA
"788","23 Marina Way","1","2","2018","Ms Residential 1 Pte. Ltd. / Ms Residential 2 Pte. Ltd.","Boat Quay / Raffles Place / Marina (D1)","22 days ago","Marina One Residences","Marina Bay MRT",NA,9.84,"Condo Whole Unit",7400,"752 sqft",752,NA,"99 Years","2 Bed Condo for Rent in Marina One Residences","1042",50,16,8,"Studio, 1, 2, 3, 4, 5, 6 BR",NA,NA,NA,NA,NA
"789",NA,"6","6",NA,NA,"East Coast / Marine Parade (D15)","2 days ago",NA,NA,NA,NA,"Bungalow",18000,"6,400 sqft (built-up)",6400,NA,NA,"6 Bed House for Rent in Meyer Road",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790","Beechwood Grove","2","3","1998","Rdc Woodlands Development Pte Ltd","Admiralty / Woodlands (D25)","24 days ago","Beechwood Terrace","Marsiling MRT","Woodlands",4.38,"Terraced House",7000,"1,600 sqft (built-up)",1600,NA,"99 Years","3 Bed House for Rent in Beechwood Terrace","8",65,42,59,"3, 7, 8 BR",NA,NA,NA,NA,NA
